samplesize,run,shrinkage,LossFunc,Predictors,OptNumTrees,TPR,TNR,Accuracy,AUC,Concordance
7000,2,0.05,adaboost,36,270,0.739428571,0.672285714,0.705857143,0.78102102,0.781019673
7000,2,0.06,bernoulli,35,170,0.734285714,0.669428571,0.701857143,0.776520694,0.776518776
7000,2,0.06,adaboost,35,208,0.733714286,0.674571429,0.704142857,0.781782082,0.781777959
7000,2,0.07,bernoulli,35,187,0.731714286,0.691714286,0.711714286,0.78299351,0.782990776
7000,2,0.07,adaboost,35,219,0.724,0.694285714,0.709142857,0.784128531,0.784127837
7000,2,0.08,bernoulli,34,167,0.731142857,0.685428571,0.708285714,0.782143837,0.782140245
7000,2,0.08,adaboost,32,117,0.729428571,0.664,0.696714286,0.774009265,0.774002122
7000,2,0.09,bernoulli,33,132,0.723428571,0.681428571,0.702428571,0.778903347,0.778894286
7000,2,0.09,adaboost,32,94,0.728285714,0.668571429,0.698428571,0.771500939,0.771483592
7000,2,0.1,bernoulli,35,141,0.73,0.683714286,0.706857143,0.780735918,0.780733469
7000,2,0.1,adaboost,33,104,0.732571429,0.666285714,0.699428571,0.774757796,0.774751592
7000,3,0.001,bernoulli,37,19854,0.748285714,0.7,0.724142857,0.800600082,0.800600082
7000,3,0.001,adaboost,37,15053,0.742857143,0.690285714,0.716571429,0.792703429,0.792703429
7000,3,0.01,bernoulli,37,1785,0.747714286,0.700571429,0.724142857,0.798181265,0.798181143
7000,3,0.01,adaboost,37,1614,0.744571429,0.689714286,0.717142857,0.793302408,0.793302367
7000,3,0.02,bernoulli,37,957,0.746285714,0.699714286,0.723,0.799115469,0.799115429
7000,3,0.02,adaboost,37,840,0.746571429,0.688,0.717285714,0.794535796,0.794535592
7000,3,0.03,bernoulli,37,582,0.752,0.696857143,0.724428571,0.796327551,0.796327347
7000,3,0.03,adaboost,35,387,0.740285714,0.680857143,0.710571429,0.786207429,0.786206122
7000,3,0.04,bernoulli,35,395,0.748571429,0.688857143,0.718714286,0.794720082,0.794719755
7000,3,0.04,adaboost,37,371,0.742285714,0.698857143,0.720571429,0.792206612,0.792205224
7000,3,0.05,bernoulli,33,238,0.737142857,0.688571429,0.712857143,0.787790327,0.787786857
7000,3,0.05,adaboost,37,285,0.744857143,0.688285714,0.716571429,0.790588939,0.790587673
7000,3,0.06,bernoulli,36,222,0.735142857,0.693428571,0.714285714,0.790812122,0.790805388
7000,3,0.06,adaboost,36,317,0.742571429,0.691142857,0.716857143,0.795541061,0.79553951
7000,3,0.07,bernoulli,36,232,0.737142857,0.696857143,0.717,0.793819796,0.793815265
7000,3,0.07,adaboost,37,283,0.741142857,0.696571429,0.718857143,0.795767306,0.795762122
