"samplesize","run","shrinkage","LossFunc","Predictors","OptNumTrees","TPR","TNR","Accuracy","AUC","Concordance"
6000,3,0.08,bernoulli,33,173,0.745666666666667,0.712666666666667,0.729166666666667,0.811719222222222,0.811712888888889
6000,3,0.08,adaboost,34,188,0.753666666666667,0.704333333333333,0.729,0.811302777777778,0.811282777777778
6000,3,0.09,bernoulli,34,188,0.744666666666667,0.719,0.731833333333333,0.815111944444448,0.815102444444444
6000,3,0.09,adaboost,31,121,0.741666666666667,0.709,0.725333333333333,0.806087888888888,0.806065111111111
6000,3,0.1,bernoulli,33,104,0.741,0.715666666666667,0.728333333333333,0.806849166666665,0.806800777777778
6000,3,0.1,adaboost,29,76,0.736333333333333,0.708333333333333,0.722333333333333,0.799806222222223,0.799763888888889
6000,4,0.001,bernoulli,34,14393,0.75,0.732333333333333,0.741166666666667,0.817946499999998,0.817946444444444
6000,4,0.001,adaboost,34,13850,0.749333333333333,0.725666666666667,0.7375,0.815945944444445,0.815945888888889
6000,4,0.01,bernoulli,34,1431,0.751333333333333,0.728333333333333,0.739833333333333,0.817035888888885,0.817035
6000,4,0.01,adaboost,34,1272,0.753,0.718333333333333,0.735666666666667,0.814011277777778,0.814010777777778
6000,4,0.02,bernoulli,34,691,0.747,0.731333333333333,0.739166666666667,0.816580722222219,0.816579333333333
6000,4,0.02,adaboost,34,550,0.748333333333333,0.724,0.736166666666667,0.812015722222223,0.812013333333333
6000,4,0.03,bernoulli,34,476,0.755333333333333,0.727,0.741166666666667,0.817276277777784,0.817274777777778
6000,4,0.03,adaboost,34,439,0.745666666666667,0.724666666666667,0.735166666666667,0.813383611111114,0.813381444444444
6000,4,0.04,bernoulli,34,438,0.753333333333333,0.734333333333333,0.743833333333333,0.821226611111112,0.821224444444444
6000,4,0.04,adaboost,34,259,0.745333333333333,0.715666666666667,0.7305,0.809565444444448,0.809561333333333
6000,4,0.05,bernoulli,32,179,0.746333333333333,0.728,0.737166666666667,0.808215499999999,0.808206777777778
6000,4,0.05,adaboost,33,203,0.746666666666667,0.725333333333333,0.736,0.810287222222218,0.810273333333333
6000,4,0.06,bernoulli,33,217,0.749666666666667,0.729,0.739333333333333,0.815450111111109,0.815446222222222
6000,4,0.06,adaboost,31,131,0.748333333333333,0.723333333333333,0.735833333333333,0.805527444444447,0.805500333333333
6000,4,0.07,bernoulli,34,220,0.759666666666667,0.723,0.741333333333333,0.816369833333331,0.816362888888889
6000,4,0.07,adaboost,33,135,0.750666666666667,0.724666666666667,0.737666666666667,0.80835027777778,0.808340888888889
6000,4,0.08,bernoulli,31,149,0.745666666666667,0.729666666666667,0.737666666666667,0.812896500000001,0.812867888888889
6000,4,0.08,adaboost,33,163,0.749,0.724666666666667,0.736833333333333,0.812042777777779,0.812021333333333
6000,4,0.09,bernoulli,34,135,0.746333333333333,0.727,0.736666666666667,0.811657555555554,0.811645
6000,4,0.09,adaboost,31,84,0.742333333333333,0.712333333333333,0.727333333333333,0.803662444444441,0.803609444444444
6000,4,0.1,bernoulli,30,105,0.748,0.725,0.7365,0.80879922222222,0.808774111111111
6000,4,0.1,adaboost,30,79,0.744333333333333,0.717333333333333,0.730833333333333,0.804221500000002,0.804169666666667
6000,5,0.001,bernoulli,34,13067,0.75,0.719,0.7345,0.815326388888889,0.815326333333333
6000,5,0.001,adaboost,34,11277,0.747333333333333,0.710333333333333,0.728833333333333,0.811479388888892,0.811479333333333
6000,5,0.01,bernoulli,34,1186,0.747,0.714666666666667,0.730833333333333,0.813395222222223,0.813394555555556
6000,5,0.01,adaboost,34,1196,0.748333333333333,0.707333333333333,0.727833333333333,0.812367333333334,0.812365666666667
6000,5,0.02,bernoulli,34,565,0.746666666666667,0.712,0.729333333333333,0.811897666666669,0.811887333333333
6000,5,0.02,adaboost,34,502,0.747333333333333,0.707333333333333,0.727333333333333,0.808997388888889,0.808984222222222
6000,5,0.03,bernoulli,33,324,0.745,0.711,0.728,0.809870111111111,0.809854777777778
6000,5,0.03,adaboost,33,395,0.749666666666667,0.71,0.729833333333333,0.811585944444445,0.811580888888889
6000,5,0.04,bernoulli,32,234,0.747,0.709,0.728,0.807965000000003,0.807952222222222
6000,5,0.04,adaboost,31,234,0.743333333333333,0.704333333333333,0.723833333333333,0.808330166666665,0.808315222222222
6000,5,0.05,bernoulli,34,173,0.741333333333333,0.712,0.726666666666667,0.807210611111109,0.807156444444444
6000,5,0.05,adaboost,33,237,0.748333333333333,0.71,0.729166666666667,0.810071722222222,0.810039
6000,5,0.06,bernoulli,31,150,0.745333333333333,0.703333333333333,0.724333333333333,0.808155388888893,0.808115333333333
6000,5,0.06,adaboost,33,201,0.749,0.707666666666667,0.728333333333333,0.810448944444443,0.810420888888889
6000,5,0.07,bernoulli,33,158,0.753,0.711666666666667,0.732333333333333,0.811010555555556,0.810985555555556
6000,5,0.07,adaboost,32,161,0.742,0.707666666666667,0.724833333333333,0.809572944444445,0.809539
6000,5,0.08,bernoulli,32,131,0.755333333333333,0.705333333333333,0.730333333333333,0.810942722222222,0.810885444444444
6000,5,0.08,adaboost,33,161,0.747333333333333,0.706666666666667,0.727,0.809299444444447,0.809280222222222
6000,5,0.09,bernoulli,31,108,0.748,0.709,0.7285,0.808357555555556,0.808308222222222
6000,5,0.09,adaboost,30,92,0.745,0.709,0.727,0.805203722222222,0.805056777777778
6000,5,0.1,bernoulli,31,110,0.749,0.707666666666667,0.728333333333333,0.809029222222223,0.808994
6000,5,0.1,adaboost,30,93,0.739333333333333,0.717,0.728166666666667,0.806458166666667,0.806247777777778
7000,1,0.001,bernoulli,34,16995,0.761142857142857,0.722,0.741571428571429,0.818234530612245,0.818234530612245
7000,1,0.001,adaboost,34,15311,0.758857142857143,0.715428571428571,0.737142857142857,0.814685469387754,0.814685469387755
7000,1,0.01,bernoulli,34,1783,0.760571428571429,0.724285714285714,0.742428571428571,0.818595673469388,0.818595428571429
7000,1,0.01,adaboost,34,1803,0.760285714285714,0.718285714285714,0.739285714285714,0.817277346938775,0.817277142857143
7000,1,0.02,bernoulli,34,770,0.761714285714286,0.720571428571429,0.741142857142857,0.816090530612242,0.81608987755102
7000,1,0.02,adaboost,34,653,0.756857142857143,0.716285714285714,0.736571428571429,0.812077224489796,0.812076244897959
7000,1,0.03,bernoulli,34,360,0.753428571428571,0.712857142857143,0.733142857142857,0.809514897959185,0.809510612244898
7000,1,0.03,adaboost,34,412,0.755142857142857,0.713428571428571,0.734285714285714,0.810400448979596,0.810396816326531
7000,1,0.04,bernoulli,34,378,0.758285714285714,0.718857142857143,0.738571428571429,0.814023836734694,0.81402187755102
7000,1,0.04,adaboost,33,364,0.765714285714286,0.711142857142857,0.738428571428571,0.812806816326529,0.812802448979592
7000,1,0.05,bernoulli,34,306,0.753714285714286,0.723142857142857,0.738428571428571,0.814569632653061,0.814564897959184
7000,1,0.05,adaboost,34,216,0.752,0.716,0.734,0.807689918367349,0.807677387755102
7000,1,0.06,bernoulli,33,210,0.756285714285714,0.716571428571429,0.736428571428571,0.810944326530616,0.81093893877551
7000,1,0.06,adaboost,33,188,0.759428571428571,0.704,0.731714285714286,0.809281795918366,0.809271428571429
7000,1,0.07,bernoulli,33,191,0.755428571428571,0.714571428571429,0.735,0.813693510204082,0.813689387755102
7000,1,0.07,adaboost,34,234,0.766285714285714,0.707142857142857,0.736714285714286,0.81322930612245,0.813217714285714
7000,1,0.08,bernoulli,32,121,0.752571428571429,0.717142857142857,0.734857142857143,0.806475755102041,0.806457551020408
7000,1,0.08,adaboost,34,122,0.757142857142857,0.704,0.730571428571429,0.805866081632656,0.805831510204082
7000,1,0.09,bernoulli,33,166,0.759714285714286,0.719428571428571,0.739571428571429,0.813508040816331,0.813500244897959
7000,1,0.09,adaboost,33,158,0.755428571428571,0.712285714285714,0.733857142857143,0.810121591836738,0.810096816326531
7000,1,0.1,bernoulli,29,88,0.750285714285714,0.711142857142857,0.730714285714286,0.804152693877552,0.803998530612245
7000,1,0.1,adaboost,31,79,0.757142857142857,0.71,0.733571428571429,0.803349755102042,0.803247755102041
